(肾动脉狭窄:疾病,导致,缺血性肾脏病:疾病)	5-10-1-肾动脉狭窄,内科学,第五篇泌尿系统疾病第十章肾血管疾病第一节肾动脉狭窄,第一节肾动脉狭窄,【临床表现】
(肾动脉狭窄:疾病,导致,肾血管性高血压:疾病)	5-10-1-肾动脉狭窄,内科学,第五篇泌尿系统疾病第十章肾血管疾病第一节肾动脉狭窄,第一节肾动脉狭窄,【临床表现】
(缺血性肾脏病:疾病,导致,轻度蛋白尿:症状)	5-10-1-肾动脉狭窄,内科学,第五篇泌尿系统疾病第十章肾血管疾病第一节肾动脉狭窄,第一节肾动脉狭窄,【临床表现】
(缺血性肾脏病:疾病,导致,夜尿增多:症状)	5-10-1-肾动脉狭窄,内科学,第五篇泌尿系统疾病第十章肾血管疾病第一节肾动脉狭窄,第一节肾动脉狭窄,【临床表现】
(夜尿增多:症状,是一种,肾小管浓缩功能障碍:症状)	5-10-1-肾动脉狭窄,内科学,第五篇泌尿系统疾病第十章肾血管疾病第一节肾动脉狭窄,第一节肾动脉狭窄,【临床表现】,（二）缺血性肾脏病
(肾血管性高血压:疾病,导致,低钾血症:疾病)	5-10-1-肾动脉狭窄,内科学,第五篇泌尿系统疾病第十章肾血管疾病第一节肾动脉狭窄,第一节肾动脉狭窄,【临床表现】
(((动脉粥样硬化:疾病,与,大动脉炎:疾病),导致,肾动脉狭窄:疾病),导致,缺血性肾病:疾病)	5-10-1-肾动脉狭窄,内科学,第五篇泌尿系统疾病第十章肾血管疾病第一节肾动脉狭窄,第一节肾动脉狭窄,【病因及病理生理】
(大动脉炎:疾病,导致,肾动脉狭窄:疾病)	5-10-1-肾动脉狭窄,内科学,第五篇泌尿系统疾病第十章肾血管疾病第一节肾动脉狭窄,第一节肾动脉狭窄,【病因及病理生理】
((动脉粥样硬化:疾病,与,纤维肌性发育不良:症状),导致,肾动脉狭窄:疾病)	5-10-1-肾动脉狭窄,内科学,第五篇泌尿系统疾病第十章肾血管疾病第一节肾动脉狭窄,第一节肾动脉狭窄,【病因及病理生理】
(肾动脉狭窄:疾病,导致,缺血性肾病:疾病)	5-10-1-肾动脉狭窄,内科学,第五篇泌尿系统疾病第十章肾血管疾病第一节肾动脉狭窄,第一节肾动脉狭窄,【治疗】,（四）内科药物治疗
(双侧肾动脉狭窄:症状,或,孤立肾动脉狭窄:症状)	5-10-1-肾动脉狭窄,内科学,第五篇泌尿系统疾病第十章肾血管疾病第一节肾动脉狭窄,第一节肾动脉狭窄,【治疗】,（一）经皮球囊扩张血管成形术
(肾动脉狭窄:疾病,导致,(肾血管性高血压:疾病,或,缺血性肾病:疾病))	5-10-1-肾动脉狭窄,内科学,第五篇泌尿系统疾病第十章肾血管疾病第一节肾动脉狭窄,第一节肾动脉狭窄,【治疗】
((单侧肾动脉狭窄:症状,导致,肾血管性高血压:疾病),导致,对侧肾损害:症状)	5-10-1-肾动脉狭窄,内科学,第五篇泌尿系统疾病第十章肾血管疾病第一节肾动脉狭窄,第一节肾动脉狭窄,【临床表现】,（一）肾血管性高血压
(对侧肾损害:症状,同义词,高血压肾硬化症:疾病)	5-10-1-肾动脉狭窄,内科学,第五篇泌尿系统疾病第十章肾血管疾病第一节肾动脉狭窄,第一节肾动脉狭窄,【临床表现】,（一）肾血管性高血压
(肾血管性高血压:疾病,导致,恶性高血压:疾病)	5-10-1-肾动脉狭窄,内科学,第五篇泌尿系统疾病第十章肾血管疾病第一节肾动脉狭窄,第一节肾动脉狭窄,【临床表现】
((大动脉炎:疾病,导致,肾动脉狭窄:疾病),导致,无脉病:疾病)	5-10-1-肾动脉狭窄,内科学,第五篇泌尿系统疾病第十章肾血管疾病第一节肾动脉狭窄,第一节肾动脉狭窄,【临床表现】
((动脉粥样硬化:疾病,导致,肾动脉狭窄:疾病),导致,((脑卒中:疾病,或,冠心病:疾病),或,外周动脉硬化:症状))	5-10-1-肾动脉狭窄,内科学,第五篇泌尿系统疾病第十章肾血管疾病第一节肾动脉狭窄,第一节肾动脉狭窄,【临床表现】
((动脉粥样硬化:疾病,或,大动脉炎:疾病),导致,肾动脉狭窄:疾病)	5-10-1-肾动脉狭窄,内科学,第五篇泌尿系统疾病第十章肾血管疾病第一节肾动脉狭窄,第一节肾动脉狭窄,【临床表现】
(肾脏缺血:症状,导致,((肾小球硬化:疾病,与,肾小管萎缩:症状),与,肾间质纤维化:症状))	5-10-1-肾动脉狭窄,内科学,第五篇泌尿系统疾病第十章肾血管疾病第一节肾动脉狭窄,第一节肾动脉狭窄,【病因及病理生理】
(肾动脉狭窄:疾病,导致,肾血管性高血压:疾病)	5-10-1-肾动脉狭窄,内科学,第五篇泌尿系统疾病第十章肾血管疾病第一节肾动脉狭窄,第一节肾动脉狭窄,【病因及病理生理】
(动脉粥样硬化:疾病,导致,肾动脉狭窄:疾病)	5-10-1-肾动脉狭窄,内科学,第五篇泌尿系统疾病第十章肾血管疾病第一节肾动脉狭窄,第一节肾动脉狭窄,【病因及病理生理】
(肾动脉狭窄:疾病,是一种,肾血管疾病:疾病)	5-10-1-肾动脉狭窄,内科学
(肾血管疾病:疾病,是一种,泌尿系统疾病:疾病)	5-10-1-肾动脉狭窄,内科学
